do I need to provide PPE to customers?,AdditionalWorkplaceHygiene
what can I do to decrease the spread of disease in my workplace?,AdditionalWorkplaceHygiene
How do I revise my workspace to reduce transmission risks?,AdditionalWorkplaceHygiene
any additional tips to decrease spread?,AdditionalWorkplaceHygiene
how to stay hygiene?,AdditionalWorkplaceHygiene
what can I do at the office to decrease spread?,AdditionalWorkplaceHygiene
how to stay safe?,AdditionalWorkplaceHygiene
how to decrease corona spread,AdditionalWorkplaceHygiene
how to decrease covid spread?,AdditionalWorkplaceHygiene
Animal contact,AnimalContact
can my dog catch corona virus?,AnimalContact
Should i be far from dogs?,AnimalContact
Will cats get corona?,AnimalContact
Should I avoid contact with pets or other animals if I am sick with COVID-19?,AnimalContact
Will dogs get corona?,AnimalContact
do dogs and cats get sick of corona?,AnimalContact
do dogs and cats get sick from corona virus?,AnimalContact
can I get this from my dog?,AnimalContact
can I get this from my cat?,AnimalContact
can I get covid-19 from my pet?,AnimalContact
Can I go to a funeral of someone who died of  Corona Virus (COVID-19)?,AttendingFuneral
Can I go to a funeral? ,AttendingFuneral
Should I avoid funerals?,AttendingFuneral
Are funerals safe? ,AttendingFuneral
Am I at risk if I go to a funeral or visitation service for someone who died of COVID-19?,AttendingFuneral
What is the center for disease control doing to help?,CDC_Response
CDC response,CDC_Response
Does CDC work to protect public health?,CDC_Response
How is CDC helping Americans prepare?,CDC_Response
What is CDC doing about COVID-19?,CDC_Response
Should children wear masks?,ChildrenAndFaceMasks
Should children go out with mask or without mask?,ChildrenAndFaceMasks
are facemasks recommended for children,ChildrenAndFaceMasks
does my daughter need to wear a facemask?,ChildrenAndFaceMasks
Children and facemasks,ChildrenAndFaceMasks
Should we keep children at home?,ChildrenAndFaceMasks
do kids need to limit in person contact?,ChildrenSocializing
can children go out to play?,ChildrenSocializing
Can children play ?,ChildrenSocializing
can children go outside?,ChildrenSocializing
Can my kid still go to group activities?,ChildrenSocializing
"While school’s out, can my child hang out with their friends?",ChildrenSocializing
Children socializing,ChildrenSocializing
While school is out can my child go to sports practice?,ChildrenSocializing
Is social distancing important for kids too?,ChildrenSocializing
Can community spread happen? ,CommunitySpread
How does community spread happen? ,CommunitySpread
Why is community spread of this virus important?,CommunitySpread
Does  Corona Virus (COVID-19) spread to an entire community?,CommunitySpread
What does that term community spread mean?,CommunitySpread
What is community spread?,CommunitySpread
will corona spread in community?,CommunitySpread
will covid spread in community?,CommunitySpread
Can covid spread in community?,CommunitySpread
Community Spread,CommunitySpread
is my business in critical position?,CriticalBusinesses
Is my business loss?,CriticalBusinesses
how to decide whether my business gets affected?,CriticalBusinesses
How do I know if my business is considered critical?,CriticalBusinesses
Is my workplace a critical business?,CriticalBusinesses
which businesses are thought of as critical?,CriticalBusinesses
How do I find out if my business is considered essential?,CriticalBusinesses
Which businesses are deemed critical?,CriticalBusinesses
Where do you get your information?,DataSource
Are you sure?,DataSource
Is this information accurate?,DataSource
Where did you learn this?,DataSource
Is this true?,DataSource
How do you know this?,DataSource
What cleaning products should I use to protect against COVID-19?,DisinfectingSurfaces
How do I clean my home to remove virus molecules,DisinfectingSurfaces
how should i disinfect my home?,DisinfectingSurfaces
Do I need to clean with bleach?,DisinfectingSurfaces
Disinfecting surfaces,DisinfectingSurfaces
Where do i need to disinfect?,DisinfectingSurfaces
what products are best at disinfecting?,DisinfectingSurfaces
any cleaning recommendations?,DisinfectingTheWorkplace
how do we keep the customer area disinfected?,DisinfectingTheWorkplace
how much extra cleaning should I do?,DisinfectingTheWorkplace
How do I clean and disinfect machinery or equipment?,DisinfectingTheWorkplace
what areas do I need to disinfect?,DisinfectingTheWorkplace
do I need to prove I am covid free to return to work?,DocumentEmployeeIllness
do I need to get a doctor's excuse if I test positive?,DocumentEmployeeIllness
Does an employee need to bring a doctor's note ?,DocumentEmployeeIllness
can I go back to work without a doctor's note?,DocumentEmployeeIllness
can my employer require a doctor's note?,DocumentEmployeeIllness
if an employee seems like they might have covid,EmployeeShowsSymptoms
What should I do if an employee shows symptoms of Covid-19?,EmployeeShowsSymptoms
do I need to quarantine the area where a sick person worked?,EmployeeShowsSymptoms
what if someone i work with is sick?,EmployeeShowsSymptoms
how do I disinfect if a sick person showed up at work?,EmployeeShowsSymptoms
what if an employee tests positive after they have been reporting to work?,EmployeeTestsPositive
someone I worked with is now sick. do I need to disinfect the office?,EmployeeTestsPositive
how to respond to possible exposure at work?,EmployeeTestsPositive
how to disinfect the workplace after someone has been ill?,EmployeeTestsPositive
my employee came to work then got sick. now what do I do?,EmployeeTestsPositive
should i stay home from work if I've been in contact with a covid patient?,ExposedEmployees
should my employees stay home from work if they are exposed to covid?,ExposedEmployees
My spouse had covid. Can I go back to work anyway?,ExposedEmployees
can i return to work even though my housemate has covid?,ExposedEmployees
how long should I stay home from work after being near someone with covid?,ExposedEmployees
stop,goodbyes
g'day,goodbyes
i'm leaving,goodbyes
no problem,goodbyes
laters,goodbyes
leave,goodbyes
logging off,goodbyes
my time is up,goodbyes
ok bye,goodbyes
out of time,goodbyes
over and out,goodbyes
run,goodbyes
see ya,goodbyes
see ya soon,goodbyes
see you,goodbyes
see you later,goodbyes
should be going,goodbyes
should go,goodbyes
signing off,goodbyes
signing out,goodbyes
so long,goodbyes
soon,goodbyes
take care,goodbyes
take it easy,goodbyes
sorry got to go,goodbyes
thank you for the info,goodbyes
no thank you,goodbyes
youre welcome now bye,goodbyes
shut up,goodbyes
thanks for your help,goodbyes
be quiet robot,goodbyes
done,goodbyes
dont need your help at all,goodbyes
good bye hohoho,goodbyes
goodbye joto,goodbyes
got to go bye nice time talking to you,goodbyes
ttyl,goodbyes
ty,goodbyes
thx,goodbyes
bye im going to play a game,goodbyes
i am done with you,goodbyes
o thank u,goodbyes
ok thanks,goodbyes
ok thank you for your time,goodbyes
ok thank you,goodbyes
gtg go right now ok,goodbyes
good night,goodbyes
see ya later,goodbyes
talk to you soon,goodbyes
talk to you later,goodbyes
thanks watson,goodbyes
thank you,goodbyes
then bye,goodbyes
toodles,goodbyes
thanks,goodbyes
adieu,goodbyes
adios,goodbyes
au revoir,goodbyes
bye,goodbyes
bye bye,goodbyes
bye now,goodbyes
catch ya later,goodbyes
cya,goodbyes
farewell,goodbyes
go,goodbyes
goodbye,goodbyes
good bye,goodbyes
good day,goodbyes
gday,goodbyes
gotta go,goodbyes
gotta run,goodbyes
gtg,goodbyes
have a good one,goodbyes
im leaving,goodbyes
later,goodbyes
hey there,greeting
ciao,greeting
hiya,greeting
buenos dias,greeting
aloha,greeting
bonjour,greeting
namaste,greeting
good evening,greeting
Good afternoon,greeting
Good morning,greeting
feeling a bit low,greeting
heya,greeting
Olla,greeting
yello,greeting
yo,greeting
hello,greeting
hello watson,greeting
hi,greeting
hey,greeting
hola,greeting
hi there,greeting
howdy,greeting
is hand sanitizer effective against covid-19?,HandwashingTips
Handwashing tips,HandwashingTips
handwashing products,HandwashingTips
will washing my hands help protect me?,HandwashingTips
will frequent handwashing help?,HandwashingTips
how do i wash my hands correctly?,HandwashingTips
Should I use soap and water or a hand sanitizer to protect against COVID-19?,HandwashingTips
should i keep washing my hands,HandwashingTips
how do I ship a specimen to the CDC lab?,HealthDeptRecommendedActions
can CDC help my local health dept get protective gear?,HealthDeptRecommendedActions
What should healthcare professionals and health departments do?,HealthDeptRecommendedActions
does CDC provide protocols for labs to test covid-19?,HealthDeptRecommendedActions
Health dept recommended actions,HealthDeptRecommendedActions
can CDC help my local board of health,HealthDeptRecommendedActions
Does  Corona Virus (COVID-19) affect older people more?,HigherRiskPopulations
Can Millennials get it? ,HigherRiskPopulations
Who is at higher risk for serious illness from COVID-19?,HigherRiskPopulations
Higher risk populations,HigherRiskPopulations
How does it affect immunocompromised people? ,HigherRiskPopulations
How does this impact the elderly? ,HigherRiskPopulations
I am over the age of 60.,HigherRiskPopulations
I have underlying health issues.,HigherRiskPopulations
I have a chronic illness.,HigherRiskPopulations
Do seniors need to take extra precautions?,HigherRiskPopulations
What does immunocompromised mean? ,HigherRiskPopulations
Does Gen-Y get it?,HigherRiskPopulations
Can Gen-X get sick? ,HigherRiskPopulations
Who is dying? ,HigherRiskPopulations
Why are people with pre-existing conditions more at risk?,HigherRiskPopulations
Are older adults more likely to contract the disease?,HigherRiskPopulations
Are all the old people going to die? ,HigherRiskPopulations
Why do Boomers get sick? ,HigherRiskPopulations
are you ok,Howareyou
how are you?,Howareyou
how are u doing,Howareyou
is corona virus contagious?,HowDoesItSpread
how did the virus spread from China?,HowDoesItSpread
How does it spread,HowDoesItSpread
How does the virus spread?,HowDoesItSpread
does the corona virus spread easily?,HowDoesItSpread
how many corona cases,How_many_cases
Number of virus effectants in world.,How_many_cases
What are the number of active cases?,How_many_cases
What are the no. of active cases?,How_many_cases
Number of active cases?,How_many_cases
Total active cases,How_many_cases
what is the number of covid cases?,How_many_cases
what is the number of cases currently?,How_many_cases
How many cases of covid 19 have been detected?,How_many_cases
What is the stats on Corona Virus?,How_many_cases
How many cases of Covid 19 has been detected?,How_many_cases
What are the stats on COVID-19?,How_many_cases
How many cases so far?,How_many_cases
Total Cases so Far,How_many_cases
How many cases of corona virus has been detected?,How_many_cases
how many cases?,How_many_cases
how many corona cases?,How_many_cases
how many covid cases?,How_many_cases
what is the corona cases count,How_many_cases
Please tell me how many cases,How_many_cases
Total active corona cases .,How_many_cases
What are the no. of cases today?,How_many_cases_new
how many deaths today?,How_many_cases_new
how many new cases today?,How_many_cases_new
how many dead today because of corona?,How_many_cases_new
how many got corona today?,How_many_cases_new
How many effected by corona today?,How_many_cases_new
who caught corona today?,How_many_cases_new
new cases,How_many_cases_new
today recovered,How_many_cases_new
today deaths,How_many_cases_new
today cases.,How_many_cases_new
How many dead today?,How_many_cases_new
What are the no. of recoveries today?,How_many_cases_new
What are the number of deaths tpday?,How_many_cases_new
what are the number of recoveries today?,How_many_cases_new
number of cases today.,How_many_cases_new
How many recovered today?,How_many_cases_new
How many cases yesterday,How_many_cases_new
How many cases today?,How_many_cases_new
haw many dead cases today?,How_many_cases_new
What are the number of deaths today,How_many_cases_new
what do i do when someone in my home gets it?,InfectedFamilyMember
my roommate has corona virus what should I do?,InfectedFamilyMember
What should I do if someone in my house gets sick with COVID-19?,InfectedFamilyMember
do I need to quarantine ill family members?,InfectedFamilyMember
Infected family member,InfectedFamilyMember
will school students be able to get their free meals?,MealsForStudents
"While school’s out, will kids have access to meals?",MealsForStudents
are schools continuing to serve school lunch plans even if classes are closed?,MealsForStudents
how are students on school lunch plans getting their meals?,MealsForStudents
Meals for students,MealsForStudents
if you test negative can you still get COVID-19 later?,NegativeTestResults
Can you have corona virus and still test negative?,NegativeTestResults
Does a negative test mean a person does not have COVID-19?,NegativeTestResults
Negative test results,NegativeTestResults
Can a person test negative and later test positive for COVID-19?,NegativeTestResults
Why is  Corona Virus (COVID-19) spreading between people?,PersonToPerson
Can I catch it from my friend?,PersonToPerson
Can someone who has had COVID-19 spread the illness to others?,PersonToPerson
How does  Corona Virus (COVID-19) spread?,PersonToPerson
person to person,PersonToPerson
Who can I get it from?,PersonToPerson
Why is it so contagious?,PersonToPerson
Can  Corona Virus (COVID-19) spread from person-to-person?,PersonToPerson
how do I prepare my household in case corona virus hits my community?,PrepareFamily
what goes into a family emergency plan?,PrepareFamily
Prepare family,PrepareFamily
should my household plan ahead?,PrepareFamily
How can my family and I prepare for COVID-19?,PrepareFamily
How do I prepare my children in case of COVID-19 outbreak in our community?,PreparingChildren
Preparing children,PreparingChildren
how do I keep my kids from worrying about the virus?,PreparingChildren
what should I tell my child about this pandemic?,PreparingChildren
My child is stressed about the crisis how can I help?,PreparingChildren
Products from China,ProductsFromChina
are packages from China infected?,ProductsFromChina
is it safe to buy Chinese products?,ProductsFromChina
Am I at risk for COVID-19 from a package or products shipping from China?,ProductsFromChina
should i stop buying products from China?,ProductsFromChina
is handwashing important for children?,ProtectingChildren
How can I protect my child from COVID-19 infection?,ProtectingChildren
what will protect my kids from getting the infection?,ProtectingChildren
should I disinfect my kid's toys?,ProtectingChildren
Protecting children,ProtectingChildren
what are the top tips to keep my family from catching it?,ReduceFamilyRisk
What steps can my family take to reduce our risk of getting COVID-19?,ReduceFamilyRisk
lower my family's risk of getting sick,ReduceFamilyRisk
What should I have my family do to keep from getting sick?,ReduceFamilyRisk
Reduce family risk,ReduceFamilyRisk
what are my work from home options?,ReportingToWork
Reporting to work,ReportingToWork
Should I go to work if there is an outbreak in my community?,ReportingToWork
I'm supposed to work but my child's school is canceled,ReportingToWork
will my office be closed?,ReportingToWork
Can corona virus infect an infant?,RiskToChildren
do children catch covid-19?,RiskToChildren
Risk to children,RiskToChildren
Are children at higher risk of getting sick?,RiskToChildren
Are kids at increased risk of infection?,RiskToChildren
What is the risk of my child becoming sick with COVID-19?,RiskToChildren
Risk to pets,RiskToPets
Is there any danger to pets?,RiskToPets
Can corona virus affect the pets?,RiskToPets
Are my pets in risk?,RiskToPets
Should I be concerned about pets or other animals and COVID-19?,RiskToPets
school closing,schoolclosing
Will schools be dismissed if there is an outbreak in my community?,schoolclosing
how do I know if my school is closing?,schoolclosing
why are schools closing?,schoolclosing
who gets to decide if the school will close?,schoolclosing
how do I keep my child engaged in schoolwork?,Schoolfromhome
I need tips for at home learning,Schoolfromhome
School from home,Schoolfromhome
Tips for my child's schedule when school is canceled.,Schoolfromhome
"While school’s out, how can I help my child continue learning?",Schoolfromhome
Can someone who has been quarantined for COVID-19 spread the illness to others?,spreadinquarantine
does quarantining people stop the spread of corona virus?,spreadinquarantine
spread in quarantine,spreadinquarantine
does putting infected people into quarantine help?,spreadinquarantine
what is a quarantine?,spreadinquarantine
what is the incubation period of this corona virus?,spreadinquarantine
does it spread on food packaging?,spreadviafood
does the virus stick to packaged food?,spreadviafood
spread via food,spreadviafood
do I need to wash my groceries?,spreadviafood
"Can the virus that causes COVID-19 be spread through food, including refrigerated or frozen food?",spreadviafood
should I stay home if I don't feel well?,StayingHomeWhenSick
what symptoms should make me stay home from work,StayingHomeWhenSick
should I stay home sick even if I don't feel very bad?,StayingHomeWhenSick
I need to work even though I'm not feeling well,StayingHomeWhenSick
what if an employee shows respiratory symptoms at work?,StayingHomeWhenSick
How do I keep employees who interact with customers safe?,StayingSafeAtWork
Stigmatized groups,Stigmatizedgroups
Why might someone blame or avoid individuals and groups (create stigma) because of COVID-19?,Stigmatizedgroups
What causes stereotyping and blame?,Stigmatizedgroups
is the pandemic causing discrimination against Chinese people?,Stigmatizedgroups
are Asian people being unfarely blamed for corona virus?,Stigmatizedgroups
what symptoms should I watch for?,Symptoms
What are the symptoms and complications that COVID-19 can cause?,Symptoms
does covid-19 cause fever?,Symptoms
does covid-19 cause coughing?,Symptoms
is fever a sign of this infection?,Symptoms
Symptoms,Symptoms
what are the symptoms in children?,Symptomsinchildren
Are the symptoms of COVID-19 different in children than in adults?,Symptomsinchildren
do kids get different symptoms?,Symptomsinchildren
do children react differently to the virus than adults do?,Symptomsinchildren
Symptoms in children,Symptomsinchildren
should I head to the doctor if I show symptoms?,Testing
Should I be tested for COVID-19?,Testing
who should get tested?,Testing
Testing,Testing
can my doctor test me if I start feeling sick?,Testing
,USinfectonlevel
will the virus go away during warmer months?,warmerweather
i heard the spread will slow down in warmer months,warmerweather
warmer weather,warmerweather
Will warm weather stop the outbreak of COVID-19?,warmerweather
does it get less contagious in the summer?,warmerweather
Should my child wear a face mask?,Wearingfacemasks
Wearing face masks,Wearingfacemasks
What do face masks do? ,Wearingfacemasks
Someone in my household is sick should we wear masks at home?,Wearingfacemasks
Do face masks do anything?,Wearingfacemasks
Do I need to wear a face mask?,Wearingfacemasks
Does CDC recommend the use of facemask to prevent COVID-19?,Wearingfacemasks
Should I use a face mask when in public?,Wearingfacemasks
Should I wear a face mask?,Wearingfacemasks
What is a novel coronavirus?,WhatisCovid
covid 19,WhatisCovid
What is SARS-CoV-2?,WhatisCovid
When did  Corona Virus (COVID-19) appear?,WhatisCovid
Where did  Corona Virus (COVID-19) appear?,WhatisCovid
Where was  Corona Virus (COVID-19) first spotted.,WhatisCovid
Why did  Corona Virus (COVID-19) spread?,WhatisCovid
How did the  Corona Virus (COVID-19) spread from China?,WhatisCovid
Carona Virus,WhatisCovid
When did  Corona Virus (COVID-19) start?,WhatisCovid
what is carona virus?,WhatisCovid
What is Covid,WhatisCovid
What is COVID 19?,WhatisCovid
what is corona,WhatisCovid
What's up?,Whatsup
What's going?,Whatsup
Where did corona virus originate from?,Wherediditstart
which location did corona virus start from?,Wherediditstart
Where did it start,Wherediditstart
What is the source of the virus?,Wherediditstart
"Why is the disease being called coronavirus disease 2019, COVID-19?",Whythename
Why the name,Whythename
why was covid-19 used to name this disease?,Whythename
is covid an abbreviation?,Whythename
is corona virus the same as covid-19?,Whythename
why is covid-19 the name for this disease?,Whythename
Do we need to provide masks for employees?,WorkplaceFaceCoverings
do I need to wear a mask at work?,WorkplaceFaceCoverings
should customers in my workplace have on masks?,WorkplaceFaceCoverings
are face coverings required at work?,WorkplaceFaceCoverings
do I need a special mask for work?,WorkplaceFaceCoverings
how do I practice social distancing at work?,WorkplaceSocialDistancing
how can we adjust the business for social distancing?,WorkplaceSocialDistancing
How can my workplace practice social distancing?,WorkplaceSocialDistancing
how do I rearrange my workplace for social distance?,WorkplaceSocialDistancing
any recommendations for workplace social distancing?,WorkplaceSocialDistancing
